id,city,temperature,humidity,rainfall,spoilage_risk,recorded_at
1,Bhadrak,32.29,38.0,1.16,Medium,2026-02-12 12:54:12
2,Khurda,28.42,45.0,0.0,Medium,2026-02-12 12:54:12
3,Angul,25.38,42.0,0.0,Medium,2026-02-12 12:54:12
4,Bhadrak,21.91,16.0,0.0,Low,2026-02-12 12:54:12
5,Sundargarh,28.66,33.0,0.0,Medium,2026-02-12 12:54:12
6,Rayagada,37.24,40.0,0.0,Medium,2026-02-12 12:54:12
7,Khurda,27.66,12.0,0.0,Low,2026-02-12 12:54:12
8,Angul,34.34,49.0,2.74,Medium,2026-02-12 12:54:12
9,Cuttack,29.56,87.0,7.96,High,2026-02-12 12:54:12
10,Bhubaneswar,25.14,29.0,0.0,Low,2026-02-12 12:54:12
11,Nayagarh,29.41,40.0,0.0,Medium,2026-02-12 12:54:12
12,Nayagarh,26.94,64.0,26.65,Medium,2026-02-12 12:54:12
13,Bhadrak,36.3,52.0,0.0,High,2026-02-12 12:54:12
14,Cuttack,34.86,39.0,0.0,Medium,2026-02-12 12:54:12
15,Khurda,32.94,31.0,0.0,Medium,2026-02-12 12:54:12
16,Bhadrak,26.35,41.0,0.0,Medium,2026-02-12 12:54:12
17,Gopalpur,28.84,47.0,0.0,Medium,2026-02-12 12:54:12
18,Jharsuguda,31.06,33.0,0.0,Medium,2026-02-12 12:54:12
19,Rayagada,27.6,47.0,0.0,Medium,2026-02-12 12:54:12
20,Bisoi,35.88,29.0,0.0,Medium,2026-02-12 12:54:12
21,Balasore,28.91,46.0,0.0,Medium,2026-02-12 12:54:12
22,Sundargarh,24.96,22.0,0.0,Low,2026-02-12 12:54:12
23,Bhubaneswar,35.45,31.0,0.0,Medium,2026-02-12 12:54:12
24,Talcher,28.02,21.0,0.0,Medium,2026-02-12 12:54:12
25,Joda,33.96,43.0,0.0,Medium,2026-02-12 12:54:12
26,Titlagarh,30.87,4.0,0.0,Medium,2026-02-12 12:54:12
27,Bisoi,33.88,16.0,0.0,Medium,2026-02-12 12:54:12
28,Joda,26.42,52.0,0.0,Medium,2026-02-12 12:54:12
29,Paradip,34.19,55.0,15.69,High,2026-02-12 12:54:12
30,Khurda,28.79,26.0,0.0,Medium,2026-02-12 12:54:12
31,Khurda,26.48,29.0,0.0,Low,2026-02-12 12:54:12
32,Jharsuguda,34.75,18.0,0.0,Medium,2026-02-12 12:54:12
33,Rourkela,29.06,37.0,0.0,Medium,2026-02-12 12:54:12
34,Jaleswar,24.57,67.0,6.8,Medium,2026-02-12 12:54:12
35,Jaleswar,27.24,24.0,0.0,Low,2026-02-12 12:54:12
36,Cuttack,20.98,16.0,0.0,Low,2026-02-12 12:54:12
37,Dhenkanal,32.1,14.0,0.0,Medium,2026-02-12 12:54:12
38,Balasore,28.31,35.0,0.0,Medium,2026-02-12 12:54:12
39,Khurda,31.74,12.0,0.0,Medium,2026-02-12 12:54:12
40,Bhubaneswar,32.67,21.0,0.0,Medium,2026-02-12 12:54:12
41,Angul,30.31,28.0,0.0,Medium,2026-02-12 12:54:12
42,Koraput,36.25,23.0,0.0,Medium,2026-02-12 12:54:12
43,Bhubaneswar,35.15,4.0,0.0,Medium,2026-02-12 12:54:12
44,Sundargarh,29.21,65.0,0.0,Medium,2026-02-12 12:54:12
45,Puri,24.55,24.0,3.95,Low,2026-02-12 12:54:12
46,Rourkela,34.02,58.0,1.94,Medium,2026-02-12 12:54:12
47,Bhubaneswar,27.54,17.0,0.0,Low,2026-02-12 12:54:12
48,Joda,29.15,20.0,0.0,Medium,2026-02-12 12:54:12
49,Ganjam,32.96,21.0,0.0,Medium,2026-02-12 12:54:12
50,Koraput,19.06,42.0,0.0,Medium,2026-02-12 12:54:12
51,Gunupur,37.27,37.0,0.0,Medium,2026-02-12 12:54:12
52,Soro,31.65,25.0,0.0,Medium,2026-02-12 12:54:12
53,Banki,41.24,35.0,0.0,Medium,2026-02-12 12:54:12
54,Ganjam,30.2,29.0,0.0,Medium,2026-02-12 12:54:12
55,Angul,34.92,23.0,0.0,Medium,2026-02-12 12:54:12
56,Bhubaneswar,26.35,52.0,4.89,Medium,2026-02-12 12:54:12
57,Bhubaneswar,31.65,54.0,0.0,Medium,2026-02-12 12:54:12
58,Bhadrak,28.46,49.0,14.71,High,2026-02-12 12:54:12
59,Khurda,24.03,36.0,0.0,Low,2026-02-12 12:54:12
60,Paradip,34.51,23.0,0.0,Medium,2026-02-12 12:54:12
61,Paradip,35.51,41.0,0.0,High,2026-02-12 12:54:12
62,Angul,26.71,71.0,9.39,High,2026-02-12 12:54:12
63,Khurda,30.83,36.0,0.0,Medium,2026-02-12 12:54:12
64,Gopalpur,21.28,37.0,0.0,Low,2026-02-12 12:54:12
65,Balangir,15.4,83.0,0.0,Medium,2026-02-12 12:54:12
66,Deoghar,19.62,5.0,0.0,Low,2026-02-12 12:54:12
67,Jaleswar,33.83,60.0,0.0,Medium,2026-02-12 12:54:12
68,Khurda,25.56,62.0,0.0,Medium,2026-02-12 12:54:12
69,Sambalpur,23.82,20.0,0.0,Low,2026-02-12 12:54:12
70,Sundargarh,39.99,44.0,6.75,High,2026-02-12 12:54:12
71,Ganjam,35.62,29.0,0.0,Medium,2026-02-12 12:54:12
72,Joda,28.32,32.0,0.0,Medium,2026-02-12 12:54:12
73,Khurda,27.92,29.0,0.0,Low,2026-02-12 12:54:12
74,Bhadrak,29.14,60.0,0.0,Medium,2026-02-12 12:54:12
75,Gunupur,31.93,25.0,0.0,Medium,2026-02-12 12:54:12
76,Banki,28.66,46.0,0.0,Medium,2026-02-12 12:54:12
77,Banki,27.87,40.0,0.0,Low,2026-02-12 12:54:12
78,Nuapada,37.24,43.0,0.0,High,2026-02-12 12:54:12
79,Titlagarh,35.87,24.0,0.0,Medium,2026-02-12 12:54:12
80,Balangir,30.24,39.0,0.0,Medium,2026-02-12 12:54:12
81,Sambalpur,30.15,29.0,0.0,Medium,2026-02-12 12:54:12
82,Sundargarh,30.7,35.0,0.0,Medium,2026-02-12 12:54:12
83,Nayagarh,43.57,34.0,0.0,Medium,2026-02-12 12:54:12
84,Rayagada,31.69,46.0,1.83,Medium,2026-02-12 12:54:12
85,Cuttack,31.71,41.0,0.0,Medium,2026-02-12 12:54:12
86,Angul,25.14,42.0,0.0,Medium,2026-02-12 12:54:12
87,Sambalpur,27.72,27.0,0.0,Low,2026-02-12 12:54:12
88,Nuapada,30.13,31.0,0.0,Medium,2026-02-12 12:54:12
89,Nuapada,27.09,33.0,0.0,Low,2026-02-12 12:54:12
90,Bhadrak,22.12,30.0,0.0,Low,2026-02-12 12:54:12
91,Jharsuguda,27.71,10.0,0.0,Low,2026-02-12 12:54:12
92,Bhadrak,27.32,30.0,0.0,Low,2026-02-12 12:54:12
93,Deoghar,29.12,24.0,0.0,Medium,2026-02-12 12:54:12
94,Baripada,30.65,44.0,0.0,Medium,2026-02-12 12:54:12
95,Deoghar,21.13,29.0,0.0,Low,2026-02-12 12:54:12
96,Nayagarh,31.49,17.0,0.0,Medium,2026-02-12 12:54:12
97,Joda,21.53,37.0,0.0,Low,2026-02-12 12:54:12
98,Deoghar,27.24,60.0,0.0,Medium,2026-02-12 12:54:12
99,Rayagada,27.71,43.0,0.0,Medium,2026-02-12 12:54:12
100,Nuapada,29.48,37.0,0.0,Medium,2026-02-12 12:54:12
101,Baripada,32.61,34.0,0.0,Medium,2026-02-12 12:54:12
102,Balangir,29.9,46.0,4.85,Medium,2026-02-12 12:54:12
103,Baripada,33.49,32.0,0.0,Medium,2026-02-12 12:54:12
104,Rayagada,33.48,19.0,0.0,Medium,2026-02-12 12:54:12
105,Puri,28.48,30.0,0.0,Medium,2026-02-12 12:54:12
106,Gunupur,28.27,33.0,0.0,Medium,2026-02-12 12:54:12
107,Joda,34.96,66.0,32.66,High,2026-02-12 12:54:12
108,Gopalpur,27.0,23.0,0.0,Low,2026-02-12 12:54:12
109,Soro,23.25,4.0,0.0,Low,2026-02-12 12:54:12
110,Rayagada,28.45,60.0,0.01,Medium,2026-02-12 12:54:12
111,Gopalpur,26.48,25.0,0.0,Low,2026-02-12 12:54:12
112,Gunupur,27.52,18.0,0.0,Low,2026-02-12 12:54:12
113,Talcher,38.03,49.0,0.0,High,2026-02-12 12:54:12
114,Deoghar,31.78,48.0,0.0,Medium,2026-02-12 12:54:12
115,Baripada,37.1,49.0,0.0,High,2026-02-12 12:54:12
116,Bisoi,17.86,32.0,0.0,Low,2026-02-12 12:54:12
117,Balasore,37.06,46.0,0.0,High,2026-02-12 12:54:12
